,br,inserent_plz,title,inserent_location,clicks7d,label,lat,lng
114,38675938,63225,Application Manager (w/m/d),Langen,44,0,49.9886686,8.6628091
115,39972414,45888,Ingenieur*in (m/w/d) Landespflege Bau,Gelsenkirchen,28,0,51.51763219999999,7.1202394
116,41641938,70435,Spezialist (m/w/d) Infrastruktur Energiesystem,Stuttgart,22,0,48.831531,9.1585988
117,43091291,80939,Sachbearbeiter Materialmanagement (m/w/d),München,27,0,48.201196,11.6145677
118,38748403,82024,Senior Software Architekt*in (w/m/d),Taufkirchen,16,0,48.0389787,11.6265608
119,36697389,81377,Physiotherapeut (m/w/d),München,3,0,48.1059924,11.4864487
120,39307432,6242,Spezialist Trocknungs- und Kälteanlagen (w/m/d),Braunsbedra,12,0,51.279173,11.8881677
121,42379256,82024,"Meister*in/Techniker*in/Facharbeiter*in Automatisierungs-, MSR- oder Leittechnik für Biomasseanlage",Taufkirchen,17,0,48.0389787,11.6265608
122,40217069,81673,Sozialpädagoge (m/w/d) für easyContact Betreutes Wohnen für junge Erwachsene,München,24,0,48.1262953,11.6330728
123,40431007,81925,Sachbearbeiter (m/w/d) für betriebliche Altersversorgung,München,75,0,48.1626868,11.6217484
124,38735434,72622,Fachbereichsleiter (m/w/d) Deutsch - Integration / Junge vhs,Nürtingen,21,0,48.6134025,9.3213278
125,35745211,95445,Pflegefachkräfte (m/w/d) für die Aufnahmestation/Chest Pain Unit,Bayreuth,17,0,49.9517152,11.5608931
126,41329748,82319,HR Business Partner (w/m/d),Starnberg,24,0,48.0090878,11.3258686
127,41432268,91074,Spezialist Simulation elektrische Antriebssysteme (m/w/d),Herzogenaurach,35,0,49.5782416,10.8819032
128,38183098,1662,Referentin Projektentwicklung Wind (m/w/d),Meißen,35,0,51.1632952,13.475152
129,42413263,52428,Technischer Projektleiter F&E ‎(m/w/d)‎,Jülich,37,0,50.9418933,6.394430799999999
130,38748384,82024,Air Traffic Control Technische*r Projektleiter*in (w/m/d),Taufkirchen,29,0,48.0389787,11.6265608
131,38184346,52531,Linienverantwortlicher - Produktion (w/m/d),Übach-Palenberg,32,0,50.9253588,6.1177073
132,39037256,56322,Facharbeiter (m/w/d) Mechanische Fertigung,Spay/Rhein,19,0,50.2543658,7.6472777
133,40509096,65201,Senior Application- and Infrastructure Administrator / Linux (m/w/d),Wiesbaden,23,0,50.049155,8.1878001
134,37415272,58300,Hardwareentwickler / Ingenieur für elektronische Temperaturregler (m/w/d),Wetter (Ruhr),28,0,51.3785418,7.3632022
135,41262238,24937,Sozialpädagoge/Sozialpädagogin (m/w/d) oder Sozialarbeiter/in (m/w/d) mit staatlicher Anerkennung (Diplom/Bachelor),Flensburg,27,0,54.7849139,9.430704
136,42449966,95445,Oberarzt (m/w/d) für die Notaufnahme,Bayreuth,33,0,49.9517152,11.5608931
137,39156215,60549,Engagement Manager Captive (m/w/d) in Teilzeit möglich,Frankfurt,30,0,50.041381,8.5800547
138,37780048,74254,Erzieher/-innen und Pädagogische Fachkräfte (m/w/d),Offenau,27,0,49.2439527,9.1637074
139,40513498,55131,Physiotherapeut*in (m/w/d),Mainz,18,0,49.9889241,8.2716688
140,43116487,70376,Assistenzarzt (m/w/d) für die Allgemein- und Viszeralchirurgie,Stuttgart,20,0,48.82035339999999,9.2031939
141,41323682,42857,Process Developer (m/w/d) Schwerpunkt Materialmanagement,Remscheid,20,0,51.16776050000001,7.1621551
142,39568953,80686,Solution Architect (m/w/d),München,37,0,48.1288628,11.5089621
143,37359369,48499,Elektriker / Elektroniker (m/w/d) Schaltschrankbau,Salzbergen,18,0,52.3147686,7.338750399999999
144,41070990,80538,Spezialist (m/w/d) Startup-Cooperation,München,37,0,48.1445812,11.5895274
145,41058231,91074,Experte Projekteinkauf elektrische Achssysteme (m/w/d),Herzogenaurach,10,0,49.5782416,10.8819032
146,36197976,95448,Referent für Netzwirtschaft im Bereich Customers & Markets (m/w/d),Bayreuth,35,0,49.93635690000001,11.61009
147,40985791,80992,Projektleitung Umsetzung Brandschutz (m/w/d),München,24,0,48.1757295,11.5182935
148,38559500,82024,Koordinator*in Risk & Improvement (w/m/d),Taufkirchen,28,0,48.0389787,11.6265608
149,38695030,80807,Ingenieur*in (d/m/w) Versorgungs- und Gebäudetechnik,München,16,0,48.1865394,11.585399
150,43330557,78464,Mitarbeiter in der Dokumentation der IT-Infrastruktur der Universität (w/m/d),Konstanz,41,0,47.6755009,9.1980125
151,42386934,95445,Leitung (m/w/d) Applikationsmanagement,Bayreuth,0,0,49.9517152,11.5608931
152,38675925,63225,IT Specialist (w/m/d) Clientmanagement,Langen,39,0,49.9886686,8.6628091
153,35820219,82024,Systemingenieur*in Airborne SIGINT (w/m/d),Taufkirchen,23,0,48.0389787,11.6265608
154,38668996,30163,Projektmanager - Marktplätze (m/w/d),Hannover,15,0,52.3996378,9.7493829
